Vatten_ID,EU_CD,Station,Obspoint_ID,Longitude,Latitude,Date,Time,Institution,Depth,BenthicInvertebratesASPT,BenthicInvertebratesMILA,BenthicInvertebratesBQI
WA42559716,SE672467-148031,Spjutsjön,Spjutsjön,,,2018-10-23,,SLU,20.56,,,3.028
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2002-10-18,,SLU,0.5,5.522,91.163,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2002-10-18,,SLU,4,,,1
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2003-10-28,,SLU,0.5,5.211,93.169,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2003-10-28,,SLU,4.5,,,1.5
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2004-10-28,,SLU,0.5,5.217,89.306,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2004-10-28,,SLU,5,,,2
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2005-11-08,,SLU,0.5,5,82.476,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2005-11-08,,SLU,5,,,1
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2006-11-08,,SLU,0.5,5.842,81.101,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2006-11-08,,SLU,3,,,1.333
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2007-10-24,,SLU,0.5,4.778,87.355,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2007-10-24,,SLU,4.5,,,2
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2008-10-28,,SLU,0.5,5.375,95.985,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2008-10-28,,SLU,5,,,1.938
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2009-10-21,,SLU,0.5,5.167,75.688,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2009-10-21,,SLU,4.5,,,1
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2010-10-20,,SLU,0.5,5.478,80.561,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2010-10-20,,SLU,4,,,1
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2011-10-17,,SLU,0,5,86.842,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2011-10-17,,SLU,4,,,1
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2012-10-22,,SLU,0,5.667,89.591,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2012-10-22,,SLU,5,,,1.308
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2013-10-31,,SLU,,5.05,82.196,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2013-10-31,,SLU,5,,,2
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2014-10-23,,SLU,,5.062,88.868,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2014-10-23,,SLU,5.5,,,0
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2015-10-15,,SLU,,5.05,81.27,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2015-10-15,,SLU,4.7,,,1
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2016-10-19,,SLU,4.5,,,1
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2017-10-13,,SLU,0.5,5.37,90.951,
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2017-10-13,,SLU,5,,,1
WA97078589,SE663365-161779,Edasjön,Edasjön,,,2018-10-18,,SLU,5,,,1
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2002-10-14,,SLU,0.5,6.15,90.61,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2002-10-14,,SLU,20.5,,,3
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2003-10-08,,SLU,0.5,6.273,81.945,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2003-10-08,,SLU,21,,,3
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2004-10-04,,SLU,0.5,6.179,80.475,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2004-10-04,,SLU,20.5,,,3
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2005-10-18,,SLU,0.5,6.333,83.256,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2005-10-18,,SLU,22,,,0
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2006-10-16,,SLU,0.5,6.125,86.525,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2006-10-16,,SLU,20.5,,,3
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2007-10-10,,SLU,0.5,6.19,79.219,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2007-10-10,,SLU,24,,,0
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2008-10-20,,SLU,0.5,6.208,78.56,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2008-10-20,,SLU,20,,,3
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2009-10-23,,SLU,0.5,5.68,71.603,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2009-10-23,,SLU,20,,,0
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2010-10-14,,SLU,0.5,5.952,76.808,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2010-10-14,,SLU,22,,,0
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2011-10-23,,SLU,0,5.867,88.137,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2012-10-14,,SLU,0,6.174,74.165,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2012-10-14,,SLU,22,,,0
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2013-10-17,,SLU,,6.08,85.254,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2013-10-17,,SLU,23,,,3
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2014-10-09,,SLU,,6,63.15,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2014-10-09,,SLU,23,,,0
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2015-10-22,,SLU,,5.955,76.871,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2015-10-22,,SLU,21.55,,,3
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2016-10-12,,SLU,,6.35,74.227,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2017-10-16,,SLU,0.5,5.421,89.676,
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2017-10-16,,SLU,21.95,,,0
WA42018902,SE665654-149206,Mäsen,Mäsen,,,2018-10-24,,SLU,23.32,,,3
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2002-10-14,,SLU,0.5,6.111,55.645,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2002-10-14,,SLU,14.5,,,3
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2003-10-08,,SLU,0.5,6.368,41.807,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2003-10-09,,SLU,14,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2004-10-04,,SLU,0.5,6.174,49.661,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2004-10-04,,SLU,13.5,,,3
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2005-10-18,,SLU,0.5,6.833,50.472,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2005-10-18,,SLU,13.5,,,3
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2006-10-16,,SLU,0.5,5.81,54.523,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2006-10-16,,SLU,15.5,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2007-10-10,,SLU,0.5,5.733,49.396,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2007-10-10,,SLU,14,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2008-10-20,,SLU,0.5,6.9,47.908,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2008-10-20,,SLU,11,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2009-10-23,,SLU,0.5,6.13,66.639,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2009-10-23,,SLU,15.5,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2010-10-14,,SLU,0.5,6.105,37.542,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2010-10-14,,SLU,15,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2011-10-23,,SLU,0,6.261,44.598,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2011-10-23,,SLU,15,,,3
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2012-10-14,,SLU,0,6.167,55.709,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2012-10-14,,SLU,15,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2013-10-17,,SLU,,6.5,72.009,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2014-10-09,,SLU,,6.286,57.046,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2014-10-09,,SLU,16.2,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2015-10-22,,SLU,,6.056,44.044,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2015-10-22,,SLU,16.6,,,0
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2016-10-12,,SLU,0.5,6.421,57.594,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2017-10-16,,SLU,0.5,6.478,60.582,
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2017-10-16,,SLU,16.25,,,3
WA23078743,SE667151-149602,Hällsjön,Hällsjön,,,2018-10-24,,SLU,16.52,,,0
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2002-10-22,,SLU,0.5,6.846,28.636,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2002-11-18,,SLU,13,,,1
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2003-10-09,,SLU,0.5,6.533,30.15,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2003-10-09,,SLU,14.5,,,3
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2004-09-30,,SLU,0.5,7.231,26.669,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2004-09-30,,SLU,14,,,0
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2005-10-17,,SLU,0.5,6.667,24.359,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2005-10-17,,SLU,13,,,3
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2006-10-23,,SLU,0.5,6.923,27.147,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2006-10-23,,SLU,13.5,,,0
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2007-10-17,,SLU,0.5,6.769,18.365,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2007-10-17,,SLU,14,,,0
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2008-10-22,,SLU,0.5,6.533,25.87,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2008-10-22,,SLU,14,,,3
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2009-10-13,,SLU,0.5,6.647,28.535,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2009-10-13,,SLU,14,,,0
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2010-10-25,,SLU,0.5,7,29.266,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2010-12-30,,SLU,14.5,,,0
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2011-10-25,,SLU,0,7.083,25.514,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2011-10-25,,SLU,14,,,3
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2012-10-15,,SLU,0,6.286,31.809,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2012-10-15,,SLU,12,,,3
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2013-10-21,,SLU,,6.267,20.24,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2013-10-21,,SLU,15.6,,,2.333
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2014-10-07,,SLU,,6.833,19.526,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2014-10-07,,SLU,14.75,,,0
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2015-10-20,,SLU,0.5,6.364,18.25,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2015-10-20,,SLU,12.5,,,2.25
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2016-10-15,,SLU,0.5,5.95,28.726,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2016-10-15,,SLU,13.75,,,2.333
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2017-10-15,,SLU,0.5,6.615,19.519,
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2017-10-15,,SLU,13.15,,,2.2
WA67930382,SE672729-138082,Gipsjön,Gipsjön,,,2018-10-25,,SLU,13.5,,,0
WA79403718,SE664410-136192,Översjön,Översjön,,,2002-10-22,,SLU,0.5,5.846,36.899,
WA79403718,SE664410-136192,Översjön,Översjön,,,2002-10-22,,SLU,28.5,,,3
WA79403718,SE664410-136192,Översjön,Översjön,,,2003-10-08,,SLU,0.5,5.357,47.583,
WA79403718,SE664410-136192,Översjön,Översjön,,,2003-10-08,,SLU,28.5,,,3
WA79403718,SE664410-136192,Översjön,Översjön,,,2004-10-05,,SLU,0.5,4.333,36.713,
WA79403718,SE664410-136192,Översjön,Översjön,,,2004-10-05,,SLU,34,,,3
WA79403718,SE664410-136192,Översjön,Översjön,,,2005-10-27,,SLU,0.5,4.714,44.015,
WA79403718,SE664410-136192,Översjön,Översjön,,,2005-10-27,,SLU,28,,,3.5
WA79403718,SE664410-136192,Översjön,Översjön,,,2006-10-17,,SLU,0.5,5.143,48.621,
WA79403718,SE664410-136192,Översjön,Översjön,,,2006-10-17,,SLU,33,,,3.25
WA79403718,SE664410-136192,Översjön,Översjön,,,2007-10-29,,SLU,0.5,4.889,44.638,
WA79403718,SE664410-136192,Översjön,Översjön,,,2007-10-29,,SLU,34,,,0
WA79403718,SE664410-136192,Översjön,Översjön,,,2008-10-28,,SLU,0.5,5.833,34.323,
WA79403718,SE664410-136192,Översjön,Översjön,,,2008-10-28,,SLU,32,,,3.667
WA79403718,SE664410-136192,Översjön,Översjön,,,2009-10-24,,SLU,0.5,6,43.584,
WA79403718,SE664410-136192,Översjön,Översjön,,,2009-10-24,,SLU,28,,,3
WA79403718,SE664410-136192,Översjön,Översjön,,,2010-10-27,,SLU,0.5,6.083,28.168,
WA79403718,SE664410-136192,Översjön,Översjön,,,2010-10-27,,SLU,31,,,3.5
WA79403718,SE664410-136192,Översjön,Översjön,,,2011-10-25,,SLU,0,5.444,25.571,
WA79403718,SE664410-136192,Översjön,Översjön,,,2011-10-25,,SLU,25,,,3.431
WA79403718,SE664410-136192,Översjön,Översjön,,,2012-10-18,,SLU,0,6.5,27.549,
WA79403718,SE664410-136192,Översjön,Översjön,,,2012-10-18,,SLU,26,,,3
WA79403718,SE664410-136192,Översjön,Översjön,,,2013-10-10,,SLU,,6.077,41.693,
WA79403718,SE664410-136192,Översjön,Översjön,,,2013-10-10,,SLU,35,,,0
WA79403718,SE664410-136192,Översjön,Översjön,,,2014-10-23,,SLU,,5,40.705,
WA79403718,SE664410-136192,Översjön,Översjön,,,2014-10-23,,SLU,31.5,,,3
WA79403718,SE664410-136192,Översjön,Översjön,,,2015-10-20,,SLU,0.35,6.333,30.486,
WA79403718,SE664410-136192,Översjön,Översjön,,,2015-10-20,,SLU,34,,,4
WA79403718,SE664410-136192,Översjön,Översjön,,,2016-10-20,,SLU,0.3,6.273,23.054,
WA79403718,SE664410-136192,Översjön,Översjön,,,2016-10-20,,SLU,32.75,,,3
WA79403718,SE664410-136192,Översjön,Översjön,,,2017-10-23,,SLU,0.38,6.143,46.743,
WA79403718,SE664410-136192,Översjön,Översjön,,,2017-10-23,,SLU,29,,,3.857
WA79403718,SE664410-136192,Översjön,Översjön,,,2018-10-23,,SLU,34.1,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2002-09-16,,SLU,0.5,5.895,58.247,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2002-09-16,,SLU,4.5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2002-09-16,,SLU,14,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2003-09-15,,SLU,0.5,6.105,72.656,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2003-09-15,,SLU,5,,,3.028
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2003-09-15,,SLU,14,,,0
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2004-09-10,,SLU,0.5,6.333,60.141,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2004-09-10,,SLU,5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2004-09-10,,SLU,14,,,0
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2005-09-21,,SLU,0.5,6,67.165,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2005-09-21,,SLU,5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2005-09-21,,SLU,12.5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2006-09-18,,SLU,0.5,6.111,60.651,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2006-09-18,,SLU,5,,,2.929
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2006-09-18,,SLU,13.5,,,2
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2007-10-08,,SLU,0.5,5.722,66.068,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2007-10-08,,SLU,5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2007-10-08,,SLU,12.5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2008-10-06,,SLU,5,,,2.995
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2008-10-06,,SLU,13.5,,,2
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2009-09-14,,SLU,0.5,6.042,51.204,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2009-09-14,,SLU,4.5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2009-09-14,,SLU,13.5,,,2
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2010-10-05,,SLU,0.5,6.192,50.8,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2010-10-05,,SLU,5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2010-10-05,,SLU,14,,,0
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2011-10-11,,SLU,0,6.062,53.932,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2011-10-11,,SLU,4,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2011-10-11,,SLU,14,,,2.5
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2012-10-08,,SLU,0,6.294,47.295,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2012-10-08,,SLU,5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2012-10-08,,SLU,14,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2013-10-15,,SLU,,6.2,52.08,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2013-10-15,,SLU,7,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2013-10-15,,SLU,14,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2014-10-14,,SLU,,6.133,46.54,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2014-10-14,,SLU,5.65,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2014-10-14,,SLU,13.25,,,3.5
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2015-10-20,,SLU,0.3,6.235,56.561,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2015-10-20,,SLU,5,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2015-10-20,,SLU,13.45,,,2.25
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2016-10-12,,SLU,0.5,6.231,45.993,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2016-10-12,,SLU,5.05,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2016-10-12,,SLU,13.9,,,0
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2017-10-18,,SLU,0.53,6.474,44.855,
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2017-10-18,,SLU,5.1,,,3.125
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2017-10-18,,SLU,12.75,,,0
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2018-10-15,,SLU,5.4,,,3
WA79262932,SE708619-162132,Remmarsjön,Remmarsjön,,,2018-10-15,,SLU,13.8,,,0
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2002-09-23,,SLU,0.5,6.4,61.919,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2002-09-23,,SLU,42.5,,,0
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2003-09-24,,SLU,0.5,6.529,63.926,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2003-09-24,,SLU,41.5,,,3
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2004-09-29,,SLU,0.5,5.941,42.097,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2004-09-29,,SLU,39,,,3
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2005-09-20,,SLU,0.5,6.4,63.143,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2005-09-20,,SLU,43,,,3
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2006-09-25,,SLU,0.5,6.211,67.174,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2006-09-25,,SLU,40.5,,,3
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2007-10-15,,SLU,0.5,6.545,56.839,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2007-10-15,,SLU,40,,,5
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2008-09-29,,SLU,0.5,6.474,52.264,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2008-09-29,,SLU,39,,,0
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2009-10-09,,SLU,0.5,6.526,51.245,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2009-11-24,,SLU,35,,,3
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2010-10-04,,SLU,0.5,6.556,44.894,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2010-11-01,,SLU,36.5,,,5
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2011-10-17,,SLU,0,6.5,45.883,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2011-10-17,,SLU,42,,,5
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2012-10-10,,SLU,0,6.05,67.387,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2012-10-10,,SLU,39,,,3
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2013-10-09,,SLU,,5.692,56.065,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2013-10-09,,SLU,42.4,,,0
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2014-10-06,,SLU,,6.312,50.829,
WA38350845,SE704955-159090,Hällvattnet,Hällvattnet,,,2014-10-06,,SLU,43,,,3.5
