Water_type	Qetype	Quality element	Quality subelement	Indicator	Measurement	WB_extrapolation	Nutrient loading	Organic loading	Acidification	Harmful substances	Hydrological changes	Morphological changes	General pressure
Coastal	Supporting	Nutrients	Phosphorus	CoastTPsummer	Total Phosphorus	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastTPsummerEQR	Total Phosphorus	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastTPwinter	Total Phosphorus	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Nutrients	Phosphorus	CoastTPwinterEQR	Total Phosphorus	X	X	NA	NA	NA	NA	NA	NA
Coastal	Supporting	Oxygen	Oxygen	CoastBottomOxygen	Oxygen Bottom Water	NA	X	X	NA	NA	NA	NA	X
Coastal	Supporting	Oxygen	Oxygen	CoastHypoxicArea	Area affected by hypoxia (%)	NA	X	X	NA	NA	NA	NA	X
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeBiovol	Phytoplankton biovolume	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeBiovolEQR	Phytoplankton biovolume	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeChla	Chlorophyll a	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton biomass	LakeChlaEQR	Chlorophyll a	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakePTI	PhytoplanktonTrophicIndex	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakePTIEQR	PhytoplanktonTrophicIndex	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakeNphytspec	Phytoplankton species richness	X	NA	NA	X	NA	NA	NA	NA
Lakes	Biological	Phytoplankton	Phytoplankton composition	LakeNphytspecEQR	Phytoplankton species richness	X	NA	NA	X	NA	NA	NA	NA
Lakes	Biological	Macrophytes and phytobenthos	Macrophytes composition	LakeTMIEQR	TrophicMacrophyteIndex	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Macrophytes and phytobenthos	Phytobenthos composition	LakeIPS	BenthicDiatomsIPS	X	X	X	NA	NA	NA	NA	NA
Lakes	Biological	Macrophytes and phytobenthos	Phytobenthos composition	LakeIPSEQR	BenthicDiatomsIPS	X	X	X	NA	NA	NA	NA	NA
Lakes	Biological	Macrophytes and phytobenthos	Phytobenthos composition	LakeACIDEQR	BenthicDiatomsACID	X	NA	NA	X	NA	NA	NA	NA
Lakes	Biological	Benthic invertebrates	Composition and abundance	LakeASPTEQR	BenthicInvertebratesASPT	X	NA	NA	NA	NA	NA	NA	X
Lakes	Biological	Benthic invertebrates	Composition and abundance	LakeMILAEQR	BenthicInvertebratesMILA	X	NA	NA	X	NA	NA	NA	NA
Lakes	Biological	Benthic invertebrates	Composition and abundance	LakeBQIEQR	BenthicInvertebratesBQI	X	X	X	NA	NA	NA	NA	NA
Lakes	Biological	Fish	Composition and abundance	LakeEQR8	EQR8	X	X	NA	X	NA	NA	NA	NA
Lakes	Biological	Fish	Composition and abundance	LakeEindexW3	EindexW3	X	X	NA	NA	NA	NA	NA	NA
Lakes	Biological	Fish	Composition and abundance	LakeAindexW5	AindexW5	X	NA	NA	X	NA	NA	NA	NA
Lakes	Supporting	Nutrients	Phosphorus	LakeTPEQR	Total Phosphorus	X	X	NA	NA	NA	NA	NA	NA
Lakes	Supporting	Water transparency	Secchi depth	LakeSecchiEQR	Secchi depth	X	X	X	NA	NA	NA	NA	NA
Lakes	Supporting	Oxygen	Oxygen	LakeOxygenSummer	Oxygen	NA	X	X	NA	NA	NA	NA	X
Lakes	Supporting	Acidification	pH	LakepHchange	pH	X	NA	NA	X	NA	NA	NA	NA
Rivers	Biological	Macrophytes and phytobenthos	Phytobenthos composition	RiverIPS	BenthicDiatomsIPS	X	X	X	NA	NA	NA	NA	NA
Rivers	Biological	Macrophytes and phytobenthos	Phytobenthos composition	RiverIPSEQR	BenthicDiatomsIPS	X	X	X	NA	NA	NA	NA	NA
Rivers	Biological	Macrophytes and phytobenthos	Phytobenthos composition	RiverACIDEQR	BenthicDiatomsACID	X	NA	NA	X	NA	NA	NA	NA
Rivers	Supporting	Macrophytes and phytobenthos	Phytobenthos composition	RiverPctPT	BenthicDiatomsPctPT	X	X	X	NA	NA	NA	NA	NA
Rivers	Supporting	Macrophytes and phytobenthos	Phytobenthos composition	RiverTDI	BenthicDiatomsTDI	X	X	X	NA	NA	NA	NA	NA
Rivers	Biological	Benthic invertebrates	Composition and abundance	RiverASPTEQR	BenthicInvertebratesASPT	X	NA	NA	NA	NA	NA	NA	X
Rivers	Biological	Benthic invertebrates	Composition and abundance	RiverDJEQR	BenthicInvertebratesDJ	X	X	NA	NA	NA	NA	NA	NA
Rivers	Biological	Benthic invertebrates	Composition and abundance	RiverMISAEQR	BenthicInvertebratesMISA	X	NA	NA	X	NA	NA	NA	NA
Rivers	Biological	Fish	Composition and abundance	RiverVIX	FishVIX	X	X	NA	X	NA	X	X	NA
Rivers	Biological	Fish	Composition and abundance	RiverVIXs	FishVIXsm	X	X	NA	X	NA	X	X	NA
Rivers	Biological	Fish	Composition and abundance	RiverVIXm	FishVIXsm	X	X	NA	X	NA	X	X	NA
Rivers	Biological	Fish	Composition and abundance	RiverVIXh	FishVIXh	X	X	NA	X	NA	X	X	NA
Rivers	Supporting	Nutrients	Nitrogen	RiverTNsummer	Total Nitrogen	X	X	NA	NA	NA	NA	NA	NA
Rivers	Supporting	Nutrients	Phosphorus	RiverTPEQR	Total Phosphorus	X	X	NA	NA	NA	NA	NA	NA
Rivers	Supporting	Oxygen	Oxygen	RiverOxygenSummer	Oxygen	NA	X	X	NA	NA	NA	NA	NA
Rivers	Supporting	Acidification	pH	RiverpHchange	pH	X	NA	NA	X	NA	NA	NA	NA
